Index,Station_ID,Station_Name_Caps,Station_Codes,Latitude,Longitude,Train_Type,Station_Name,Full_Station_Name
145,173,SIXTH AVENUE MRT STATION,DT7,1.330786387363983,103.7972463166611,MRT,Sixth Avenue,Sixth Avenue MRT Station
146,174,TOA PAYOH MRT STATION,NS19,1.332628987123201,103.8475017643402,MRT,Toa Payoh,Toa Payoh MRT Station
147,175,WOODLANDS SOUTH MRT STATION,TE3,1.427259978711247,103.7938508924378,MRT,Woodlands South,Woodlands South MRT Station
148,176,POTONG PASIR MRT STATION,NE10,1.331379524619294,103.8690556652723,MRT,Potong Pasir,Potong Pasir MRT Station
149,177,HOUGANG MRT STATION,NE14,1.371292291678538,103.8923805189117,MRT,Hougang,Hougang MRT Station
150,178,BOON KENG MRT STATION,NE9,1.319395706023052,103.8616865018698,MRT,Boon Keng,Boon Keng MRT Station
151,179,UPPER CHANGI MRT STATION,DT34,1.341737483893197,103.9614717886784,MRT,Upper Changi,Upper Changi MRT Station
152,180,CHANGI AIRPORT MRT STATION,CG2,1.357314545330978,103.9883646585053,MRT,Changi Airport,Changi Airport MRT Station
153,182,BRADDELL MRT STATION,NS18,1.340471684451099,103.8467978454123,MRT,Braddell,Braddell MRT Station
154,183,BUANGKOK MRT STATION,NE15,1.382877858147225,103.8931215647853,MRT,Buangkok,Buangkok MRT Station
155,184,PROMENADE MRT STATION,CC4/DT15,1.293218051489327,103.8609991558870,MRT,Promenade,Promenade MRT Station
156,185,BOTANIC GARDENS MRT STATION,CC19/DT9,1.322110192984765,103.8149827503440,MRT,Botanic Gardens,Botanic Gardens MRT Station
157,186,RAFFLES PLACE MRT STATION,EW14/NS26,1.284125610573205,103.8514617120911,MRT,Raffles Place,Raffles Place MRT Station
158,187,HOLLAND VILLAGE MRT STATION,CC21,1.311834790402133,103.7961918238615,MRT,Holland Village,Holland Village MRT Station
159,188,OUTRAM PARK MRT STATION,EW16/NE3/TE17,1.281404978130137,103.8391264975836,MRT,Outram Park,Outram Park MRT Station
160,189,TELOK BLANGAH MRT STATION,CC28,1.270753211458579,103.8097486368357,MRT,telok Blangah,telok Blangah MRT Station
161,190,TELOK AYER MRT STATION,DT18,1.282289536192254,103.8483028061927,MRT,Telok Ayer,Telok Ayer MRT Station
162,191,NEWTON MRT STATION,NS21/DT11,1.312320099555639,103.8379852996327,MRT,Newton,Newton MRT Station
163,193,CANBERRA MRT STATION,NS12,1.443136699719395,103.8297118002602,MRT,Canberra,Canberra MRT Station
164,192,WOODLANDS NORTH MRT STATION,TE1,1.448292499870659,103.7856927000088,MRT,Woodlands North,Woodlands North MRT Station
165,199,HUME MRT STATION,DT4,1.354517607525489,103.7690992415080,MRT,Hume,Hume MRT Station
166,198,SPRINGLEAF MRT STATION,TE4,1.398160861025955,103.8180818498627,MRT,Springleaf,Springleaf MRT Station
167,197,LENTOR MRT STATION,TE5,1.385061946926286,103.8364694869142,MRT,Lentor,Lentor MRT Station
168,196,MAYFLOWER MRT STATION,TE6,1.372086638674201,103.8368239320149,MRT,Mayflower,Mayflower MRT Station
169,195,BRIGHT HILL MRT STATION,TE7,1.363308098095808,103.8329359578363,MRT,Bright Hill,Bright Hill MRT Station
170,194,UPPER THOMSON MRT STATION,TE8,1.354411853127734,103.8329381688606,MRT,Upper Thomson,Upper Thomson MRT Station
171,912,NAPIER MRT STATION,TE12,1.306782233647850,103.8189567968150,MRT,Napier,Napier MRT Station
172,913,ORCHARD BOULEVARD MRT STATION,TE13,1.302422285079956,103.8238685727119,MRT,Orchard Boulevard,Orchard Boulevard MRT Station
173,915,GREAT WORLD MRT STATION,TE15,1.295063495635986,103.8333129882812,MRT,Great World,Great World MRT Station
174,916,HAVELOCK MRT STATION,TE16,1.287693262100220,103.8337020874023,MRT,Havelock,Havelock MRT Station
175,918,MAXWELL MRT STATION,TE18,1.280300021171570,103.8439941406250,MRT,Maxwell,Maxwell MRT Station
176,919,SHENTON WAY MRT STATION,TE19,1.277500033378601,103.8507003784179,MRT,Shenton Way,Shenton Way MRT Station
177,922,GARDENS BY THE BAY MRT STATION,TE22,1.278300046920776,103.8680038452148,MRT,Gardens by the Bay,Gardens by the Bay MRT Station
178,923,TANJONG RHU MRT STATION,TE23,1.297259926795959,103.8734512329101,MRT,Tanjong Rhu,Tanjong Rhu MRT Station
179,924,KATONG PARK MRT STATION,TE24,1.297825098037720,103.8853302001953,MRT,Katong Park,Katong Park MRT Station
180,925,TANJONG KATONG MRT STATION,TE25,1.299199938774109,103.8976898193359,MRT,Tanjong Katong,Tanjong Katong MRT Station
181,926,MARINE PARADE MRT STATION,TE26,1.302630066871643,103.9049606323242,MRT,Marine Parade,Marine Parade MRT Station
182,927,MARINE TERRACE MRT STATION,TE27,1.306665182113647,103.9151077270507,MRT,Marine Terrace,Marine Terrace MRT Station
183,928,SIGLAP MRT STATION,TE28,1.309049606323242,103.9240264892578,MRT,Siglap,Siglap MRT Station
184,929,BAYSHORE MRT STATION,TE29,1.310016274452209,103.9339981079101,MRT,Bayshore,Bayshore MRT Station
